,name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
10,hyundai_10,2017-03-31 0:00,0.0,0.0,0.54200542,0.0,-15.08,-3.36,1
39,gs_2,2019-03-29 0:00,0.458715596,0.0,-0.254452926,0.0,56.18,11.03,0
111,lotte_0,2019-09-30 0:00,13.81381381,8.785355148999999,-21.732636300000003,-3.9325528660000004,-30.47,-1.29,0
106,lg_32,2011-09-30 0:00,23.88059701,2.223924235,12.78361926,-102.46624609999999,-49.66,4.69,0
4,hyundai_4,2018-09-28 0:00,-6.965174128999999,1.0863166990000002,7.639366827000001,-25.80148634,-13.95,4.15,1
236,SK_14,2016-03-31 0:00,0.0,0.0,0.335008375,0.0,33.41,29.53,1
137,lotte_26,2013-03-29 0:00,-18.75,0.0,3.179364127,0.0,-38.88,4.86,0
168,posco_20,2014-09-30 0:00,-6.21761658,-1.532842499,-10.34338358,-0.7145210040000001,-1.88,11.1,1
86,lg_12,2016-09-30 0:00,5.633802817,1.772615966,-0.7755946229999999,-4.788069898,0.58,-1.33,0
122,lotte_11,2016-12-29 0:00,-10.81081081,0.9833049970000001,-8.265257088,16.23379133,13.23,4.04,1
63,gs_26,2013-03-29 0:00,4.545454545,0.0,-4.850746269,0.0,29.32,13.17,0
121,lotte_10,2017-03-31 0:00,-1.369863014,0.0,1.793298726,0.0,13.23,4.04,1
167,posco_19,2014-12-30 0:00,16.08695652,0.034758666,7.799227799,-29.42688577,41.89,9.67,0
223,SK_1,2019-06-28 0:00,18.84615385,7.251875755,6.557377048999999,1.948365448,-33.49,12.29,0
222,SK_0,2019-09-30 0:00,-6.12244898,1.62820949,29.974489799999997,-54.28887406,-66.33,-8.3,1
200,samsung_15,2015-12-30 0:00,-6.722689076,20.71965272,-6.043956044,27.83406398,30.32,8.86,1
268,hhi_9,2017-06-30 0:00,-1.4814814809999999,0.804614543,-5.184659091,1.826011396,10.02,6.96,1
29,hyundai_29,2012-06-29 0:00,15.94202899,3.1920224760000004,-12.87605295,4.45601992,32.13,33.72,0
134,lotte_23,2013-12-30 0:00,-9.090909091,1.44147698,5.149700599,0.9888154109999999,0.26,7.82,1
82,lg_8,2017-09-29 0:00,-3.333333333,6.973207004,-16.52960526,42.17992351,55.09,8.86,1
143,lotte_32,2011-09-30 0:00,21.73913043,2.0767035369999998,-38.37675351,15.13782119,12.27,4.93,0
270,hhi_11,2016-12-29 0:00,-0.684931507,3.1204259189999997,6.25,-3.829475008,15.3,-0.5,0
181,posco_33,2011-06-30 0:00,26.62721893,-78.86311945,15.28013582,-113.6746453,-56.57,24.52,0
174,posco_26,2013-03-29 0:00,6.194690265,0.0,-6.5040650410000005,0.0,-22.67,-6.76,0
235,SK_13,2016-06-30 0:00,41.7721519,-0.569557548,3.398058252,-2.0903842669999997,37.43,39.59,0
199,samsung_14,2016-03-31 0:00,0.0,0.0,-0.39401103200000004,0.0,30.32,8.86,1
33,hyundai_33,2011-06-30 0:00,20.75471698,5.529240369,-2.7118644069999998,6.161306978,26.35,16.08,1
198,samsung_13,2016-06-30 0:00,4.8,-4.398554252,12.60330579,-19.26932373,-5.75,3.48,1
149,posco_1,2019-06-28 0:00,21.84615385,-2.7921294239999996,49.00302115,-75.25145346,10.79,7.38,0
210,samsung_25,2013-06-28 0:00,22.5,0.294489651,-25.12768131,8.654484216,77.39,16.44,0
17,hyundai_17,2015-06-30 0:00,39.63414634,2.066649679,0.787401575,-14.78842424,7.47,10.79,0
26,hyundai_26,2013-03-29 0:00,0.0,0.0,0.134589502,0.0,-3.37,8.4,1
